Design Task 1,,,,,,Design Task 2,,,,
x,y,motor_start,motor_end,distance,,x,y,motor_start,motor_end,time
0,0,0.71,1.71,28.8,,0,0,0.65,1.65,3.89
1.25,-2.5249,,,,,2,-4.2256,,,
2.5,-5,,,,,4,-4.8853,,,
3.75,-3.4032,,,,,6,-5,,,
5,5,,,,,8,-5,,,
6.25,-2.6999,,,,,10,-4.533,,,
7.5,-1.0298,,,,,12,-3.5782,,,
8.75,0.0501,,,,,14,-2.3376,,,
10,0,,,,,16,-0.8062,,,
,,,,,,18,1.0143,,,
,,,,,,20,3,,,
,,,,,,22,1.7662,,,
,,,,,,24,0.7739,,,
,,,,,,26,-0.0438,,,
,,,,,,28,-0.6058,,,
,,,,,,30,-0.9784,,,
,,,,,,32,-1.1511,,,
,,,,,,34,-1.155,,,
,,,,,,36,-0.9899,,,
,,,,,,38,-0.6133,,,
,,,,,,40,0,,,
